condition,mask_strategy,observation_fraction,family,seed,rmse,correlation,correlation_retention,spectral_information_loss,parameter_estimation_error
interpolation_baseline,window,0.75,gaussian,3,0.5183262598523866,0.951126947986647,0.9046424711863938,0.04187157641161665,0.0
naive_baseline,window,0.75,gaussian,3,0.8204211403039274,nan,nan,0.1899125445437645,0.0
oracle,window,0.5,gaussian,3,0.3990027021563228,0.3889088090299124,0.15125006174106484,0.09273803874572106,0.0
blind,window,0.5,gaussian,3,0.3676391367770967,0.20955518742571375,0.043913376577026014,0.15218520026661053,0.043333333333333335
interpolation_baseline,window,0.5,gaussian,3,0.7742117243327037,0.6012425277218015,0.3614925771413013,0.03502907006853773,0.0
naive_baseline,window,0.5,gaussian,3,0.8204211403039274,nan,nan,0.1899125445437645,0.0
oracle,window,0.25,gaussian,3,0.3822585502364363,0.4574750024569292,0.20928337787296736,0.10974188594455281,0.0
blind,window,0.25,gaussian,3,0.3559260034107694,0.26231751045762475,0.06881047629268607,0.14414631945148937,0.043333333333333335
interpolation_baseline,window,0.25,gaussian,3,0.7519779629410845,0.6691793631162765,0.4478010200207054,0.05337357496211326,0.0
naive_baseline,window,0.25,gaussian,3,0.8204211403039274,nan,nan,0.1899125445437645,0.0
oracle,window,0.1,gaussian,3,0.7036939913923509,-0.16786874394050955,0.02817991519216436,0.15858518092973672,0.0
blind,window,0.1,gaussian,3,0.5279006406897092,-0.18110894953636644,0.032800451602166124,0.16614836758710527,0.043333333333333335
interpolation_baseline,window,0.1,gaussian,3,1.2973055640558646,0.13179898935017068,0.017370973593726403,0.0696789306904485,0.0
naive_baseline,window,0.1,gaussian,3,0.8204211403039274,nan,nan,0.1899125445437645,0.0
oracle,random,1.0,gaussian,3,0.002286035262886134,0.9999795644720518,0.9999591293617145,0.0008070251138608819,0.0
blind,random,1.0,gaussian,3,0.03261169420213461,0.9999472178063462,0.9998944383986524,0.013188623360430696,0.3566666666666667
interpolation_baseline,random,1.0,gaussian,3,0.4410761234786202,0.9980148644416219,0.9960336696464289,0.030006016671201396,0.0
naive_baseline,random,1.0,gaussian,3,0.8204211403039274,nan,nan,0.1899125445437645,0.0
oracle,random,0.75,gaussian,3,0.009029264137700352,0.9996820710770995,0.999364243232999,0.08279338312381279,0.0
