condition,mask_strategy,observation_fraction,trial_count,rmse_mean,rmse_std,correlation_mean,correlation_std,correlation_retention_mean,correlation_retention_std,spectral_information_loss_mean,spectral_information_loss_std,parameter_estimation_error_mean,parameter_estimation_error_std,correlation_undefined_count
oracle,random,0.1,9,0.3328785045905939,0.12332584763697511,0.6340744477949478,0.39440599286643513,0.5576064925554265,0.28460564771098,0.10787113643942411,0.038064881575542775,0.0,0.0,0
blind,uniform,1.0,9,0.0181776183137362,0.012153860972836073,0.9999668026097572,3.087202834314748e-05,0.9999336072746634,6.174087013725117e-05,0.042204301011283286,0.03760598682180367,0.35,0.005443310539518186,0
blind,uniform,0.75,9,0.02392870609657083,0.009421401643986166,0.9993538272669675,0.0006000669065380338,0.9987084321534279,0.0011990787857427722,0.10035570806734723,0.052117309948397535,0.35,0.005443310539518186,0
blind,uniform,0.5,9,0.02782053465993227,0.009681529355217426,0.9986557820909776,0.0012723098221317643,0.9973149898760258,0.002539921933421968,0.10628832609705069,0.05873428053408485,0.35,0.005443310539518186,0
blind,uniform,0.25,9,0.04125034922508248,0.017107889564995343,0.9952002946488354,0.005080410864845971,0.9904494370436845,0.01008115516344731,0.11015521306359094,0.021763097615451327,0.3855555555555556,0.10304020550550781,0
blind,uniform,0.1,9,0.1457078587331239,0.08190803357633397,0.9100689850453807,0.09099564455405167,0.8365057648693367,0.1577279619708501,0.13097095617037158,0.03974594518015021,0.4922222222222223,0.1620547080311514,0
blind,window,1.0,9,0.0181776183137362,0.012153860972836073,0.9999668026097572,3.087202834314748e-05,0.9999336072746634,6.174087013725117e-05,0.042204301011283286,0.03760598682180367,0.35,0.005443310539518186,0
blind,window,0.75,9,0.16991276425522966,0.10576428522668187,0.9243545458158368,0.05824088612957755,0.8578233271875604,0.1048782379342994,0.10287935602733575,0.021964088723191843,0.2803703703703704,0.1321469855454589,0
blind,window,0.5,9,0.363702390809572,0.10441054917129078,0.5004831737332356,0.3717579649758748,0.38868739171309585,0.32096202196750023,0.15559900186458692,0.051490260837310405,0.14814814814814817,0.3153642264685024,0
blind,window,0.25,9,0.3851084308429412,0.14717218215068725,0.5136209901055384,0.30813177726111785,0.35875171363508873,0.30084453595232885,0.13433464001074816,0.025551116481609983,0.4762962962962962,0.44526991244025704,0
blind,window,0.1,9,0.4634372634732411,0.14079555884351838,0.12065177217353723,0.5133788433612323,0.2781146869395318,0.30417294780067367,0.15576922006941546,0.0248964498124486,0.5940740740740741,0.49859005595353345,0
blind,random,1.0,9,0.0181776183137362,0.012153860972836073,0.9999668026097572,3.087202834314748e-05,0.9999336072746634,6.174087013725117e-05,0.042204301011283286,0.03760598682180367,0.35,0.005443310539518186,0
blind,random,0.75,9,0.024799954882489015,0.011600718422382975,0.9990526473480144,0.0013493142492223558,0.9981080128220192,0.0026929263700119746,0.09322117552407283,0.045316639439563065,0.35,0.005443310539518186,0
blind,random,0.5,9,0.0455372892822227,0.011242125975295681,0.9938537439531192,0.0033770544354992547,0.9877566688662927,0.00671684119148517,0.10003244282343905,0.03537456559030216,0.35,0.005443310539518186,0
blind,random,0.25,9,0.06765723691426695,0.02403309435717612,0.985074087636797,0.01036249594598732,0.9704783394556988,0.02038317508870125,0.10761611141859867,0.03222642861113837,0.35,0.005443310539518186,0
blind,random,0.1,9,0.3133405206511119,0.09864187639981922,0.6273111273029375,0.3985477829917295,0.5523595857657049,0.2885871381078794,0.10428811229709706,0.0331384522792433,0.5062962962962962,0.3556091780552729,0
interpolation_baseline,uniform,1.0,9,0.3637077652224102,0.13829523683889267,0.9966542980177362,0.0021576995609207793,0.9933244454246215,0.004296957606169352,0.052265361987088296,0.043325068496259285,0.0,0.0,0
interpolation_baseline,uniform,0.75,9,0.36175172784776277,0.1387627097003036,0.9965356212450703,0.002285388923633955,0.9930884674128309,0.0045505613567366566,0.09414061060087199,0.05216858647835663,0.0,0.0,0
interpolation_baseline,uniform,0.5,9,0.3597820869018718,0.1392479794999939,0.9963565078890189,0.0024673521760885998,0.9927323786395613,0.004912007009756408,0.10213152433738155,0.05954920108627715,0.0,0.0,0
interpolation_baseline,uniform,0.25,9,0.3496695237377885,0.14085163108482096,0.9931812495455584,0.006385251183846297,0.9864497658815574,0.012629316741709628,0.10469808679559528,0.031933896761325846,0.0,0.0,0
interpolation_baseline,uniform,0.1,9,0.32269329355374876,0.13344676733983724,0.9118499225130736,0.09404285434192813,0.8403143396398757,0.16017811082561914,0.11966122288014115,0.0509221024768887,0.0,0.0,0
interpolation_baseline,window,1.0,9,0.3637077652224102,0.13829523683889267,0.9966542980177362,0.0021576995609207793,0.9933244454246215,0.004296957606169352,0.052265361987088296,0.043325068496259285,0.0,0.0,0
interpolation_baseline,window,0.75,9,0.4588831337771293,0.20044709893225787,0.9558526754861655,0.030850492958574154,0.9146060901498478,0.05765871344352738,0.09274689811040143,0.04478795038350771,0.0,0.0,0
interpolation_baseline,window,0.5,9,0.7005236619162305,0.2765074872945207,0.6353874483600401,0.2741180076867665,0.47885789167164483,0.3072935354464705,0.10379139744169391,0.05128934548234908,0.0,0.0,0
interpolation_baseline,window,0.25,9,0.5779570414325897,0.2609493450842713,0.6643421968424329,0.1636155773168324,0.4681206116461501,0.2342106023052615,0.11262892707608858,0.04418497371167406,0.0,0.0,0
interpolation_baseline,window,0.1,9,0.742489559171583,0.42988441605707783,0.24482191331716038,0.4889688229335422,0.29902827904128887,0.30383457104084083,0.12366637629080918,0.03883718419520831,0.0,0.0,0
interpolation_baseline,random,1.0,9,0.3637077652224102,0.13829523683889267,0.9966542980177362,0.0021576995609207793,0.9933244454246215,0.004296957606169352,0.052265361987088296,0.043325068496259285,0.0,0.0,0
interpolation_baseline,random,0.75,9,0.3604154758002901,0.1408605779524408,0.9962826770674725,0.002615785460366695,0.9925860149583047,0.005206904276914163,0.0859485994297214,0.041369936980935385,0.0,0.0,0
